What is your ArviZ experience level?,How often do you use ArviZ?,Which docs do you use the most often?,Which parts of the documentation do you usually use?,Which of the following documentation features should be improved/added? ,Which section of documentation do you think we should improve?,Do you think that the current documentation is enough for learning “How to use ArviZ”?,How strongly would you suggest adding a section “How to read ArviZ documentation”?,How would you rate the language of ArviZ documentation on difficulty level?,What is one thing you would not change about the current documentation?,Have you contributed to ArviZ or considered doing so?,Is there something you have in mind about how to improve our documentation and you want to share?,What are your motivations for contributing to ArviZ?,"What are the factor(s) stopping you from contributing to ArviZ’s documentation? If you have already contributed, choose those (if any) that made contributing harder.",In what ways would you be interested in contributing to ArviZ’s documentation? ,Do you think that the current documentation is enough for learning “How to contribute to ArviZ documentation”?,How strongly would you suggest adding a section “How to write ArviZ documentation”?
Expert,Daily,ArviZ (Python),User guide;API reference,Ease of navigation;Graphical guides;More code samples;More references to external sources,Getting started;User guide;Contributing,Maybe,Slightly,Difficult,User guide,Yes,I think I have already shared most of my comments as issues,Improve coding skills;Improve technical writing skills;Increase community and peer recognition;Promote open source culture;Give back to the scientific community,None,"Writing guides (e.g., user guide, reference guide);Structure of the documentation, defining navigation and learning paths for readers;Writing technical documentation of ArviZ modules ( e.g., API reference);Proofreading;Responding to GitHub issues;Developing educational content & narrative documentation (e.g. tutorials);Writing technical documentation for graphical results (e.g., example gallery);Translating content;general appearance and theming: having ""edit this page"" buttons, badges in notebook based docs to run them on binder or colab...",No,Highly
Expert,Weekly,ArviZ (Python),Getting started;API reference;Example gallery,Better explanations;Graphical guides,Getting started;User guide,Yes,Slightly,Medium,Example gallery,Yes,,Give back to the scientific community,Guides about contributing to ArviZ docs were not clear or not extensive enough,"Writing guides (e.g., user guide, reference guide);Proofreading;Responding to GitHub issues;Writing technical documentation for graphical results (e.g., example gallery)",Maybe,Slightly
Expert,Weekly,Both,User guide;API reference;Example gallery,Graphical guides,Worked examples,Maybe,Slightly,Medium,Contributing,Yes,,Promote open source culture;Give back to the scientific community,None,"Writing technical documentation of ArviZ modules ( e.g., API reference)",Maybe,Slightly
Advanced,Weekly,ArviZ (Python),Getting started;User guide;API reference;Example gallery,Better explanations;More code samples,Example gallery,Maybe,Slightly,Medium,,Yes,,Promote open source culture;Give back to the scientific community,Not sure where to start;Lack of experience;Lack of interest,"Proofreading;Writing technical documentation for graphical results (e.g., example gallery)",Maybe,Highly
Expert,Weekly,ArviZ (Python),API reference,Ease of navigation;More code samples,Example gallery,Yes,Slightly,Medium,API reference,Yes,,Give back to the scientific community;Support use cases I need.,Not sure where to start,"Structure of the documentation, defining navigation and learning paths for readers;Proofreading",Maybe,Slightly
Intermediate,Weekly,ArviZ (Python),API reference;Example gallery,Better explanations;More references to external sources,Getting started;User guide;Example gallery,Maybe,Slightly,Medium,API reference,Yes,"It would be neat to see a flow chart of the Bayesian workflow annotated with the relevant ArviZ functions at each step. E.g., in the step where you think about priors have a list of things useful for looking at the prior predictive, etc. I think this would be useful for helping newcomers build a mental map of what ArviZ functions to use at what step (the example gallery is great but perhaps it could be structured to reflect this ordering?). Anyways, I’m a big fan so good luck with Summer of Docs!",Improve coding skills;Promote open source culture;Give back to the scientific community,Not sure where to start;Lack of experience,"Writing guides (e.g., user guide, reference guide);Proofreading;Responding to GitHub issues;Writing technical documentation for graphical results (e.g., example gallery)",Maybe,Highly
Intermediate,Daily,ArviZ (Python),User guide;API reference;Contributing;Example gallery,More code samples;more detail about coords and dims,Example gallery,Maybe,Not at all,Easy,,Yes,More explanation of the spec for a data structure for mcmc output - I guess the InferenceData object. Foreground the fact that xarray doesn't support multidimensional groupby. Examples showing how to augment arviz plots with arbitrary matplotlib. Generally focus on interoperability - I think most features arviz explicitly provides can be discovered already but even though arviz essentially is compatible with standard tools but it takes quite some effort to find out how to eg draw a vertical line on a plot with ax.hline or connect some output with an existing pandas dataframe. ,wanted the feature!,None,"Writing guides (e.g., user guide, reference guide);Proofreading;Responding to GitHub issues",Yes,Slightly
Intermediate,Daily,ArviZ (Python),User guide;API reference;Example gallery,Better explanations;More code samples,User guide;API reference;Example gallery,Yes,Not at all,Difficult,Example gallery,No,,,,,,
Beginner,Never used,ArviZ (Python),,More code samples,API reference,Maybe,Slightly,Medium,API reference,No,,,,,,
Beginner,Weekly,ArviZ (Python),Getting started;API reference,More code samples,User guide,Maybe,Slightly,Medium,Getting started,Yes,,Promote open source culture;Give back to the scientific community,Not sure where to start;Lack of experience,"Writing guides (e.g., user guide, reference guide);Proofreading;Responding to GitHub issues",Yes,Slightly
